Name,NPA_1,NPA_2,NPA_3,NPA_4,NPA_5,NPA_6,NPA_7,NPA_8,NPA_9,NPA_10,NPA_30,NPA_31,NPA_32,NPA_33,NPA_34,NPA_35,diff_NBO_4_10,diff_NBO_3_9,diff_NBO_10_7,dip_x_1,dip_y_1,dip_z_1,Total_1,-32-30-,"Dist(4, 10)","Dist(3, 9)","Dist(10, 7)","Dist(33, 30)",Iso.Polar,Aniso.Polar,B1_3_9,B5_3_9,L_3_9,loc.B5_3_9,B1_9_3,B5_9_3,L_9_3,loc.B5_9_3,Yield,ddg
28,-0.26083,-0.20798,-0.1304,-0.23556,-0.27738,-0.23754,-0.66066,-0.50427,0.28219,1.02342,0.55366,0.92121,-0.70453,-0.97436,0.51261,0.52115,-1.25898,-0.41259,1.68408,-1.0354,-0.2195,2.6474,2.8511,3170.2964,1.923895879,1.472549862,1.971840098,1.6554563,315.132,147.683,1.7,4.53,8.32,5.92,1.7,3.18,6.36,4.08,88.5,1.512280624
29,-0.23903,-0.29567,0.25321,-0.32996,-0.254,-0.24207,-0.65322,-0.54968,-0.51621,1.00189,0.55202,0.91845,-0.70582,-0.97875,0.51462,0.52146,-1.33185,0.76942,1.65511,-0.1524,-0.7591,4.5703,4.6355,3286.6972,1.914404259,1.40046303,1.969202486,1.713704279,268.316,68.3422,1.68,5.38,6.25,4.07,1.69,3.24,6.22,3.9,73,0.73709082
31,-0.25795,-0.1929,-0.18587,-0.2201,-0.29917,-0.2046,-0.66239,-0.60573,0.68176,1.01893,0.5494,0.91476,-0.69235,-0.96797,0.51494,0.52311,-1.23903,-0.86763,1.68132,-0.6636,-2.9276,0.0386,3.0021,2912.5546,1.95396586,1.453446344,1.969396743,1.58301856,250.793,79.1808,1.88,2.72,5.12,2.21,1.69,3.18,6.33,4.06,88,1.476541977
30,-0.24044,-0.19185,-0.15183,-0.22384,-0.29848,-0.21988,-0.65707,-0.53634,0.07805,1.01509,0.55098,0.91572,-0.69183,-0.97862,0.51583,0.52412,-1.23893,-0.22988,1.67216,0.0832,-0.9869,1.1792,1.54,3028.8725,1.941883473,1.456733716,1.964027654,1.6104641,265.311,94.2773,1.69,3.16,5.81,2.4,1.69,3.2,6.34,4.05,86.5,1.376514935
33,-0.24763,-0.25048,0.10986,-0.27895,-0.26344,-0.26105,-0.65072,-0.33197,-0.14878,0.97463,0.55041,0.92117,-0.70547,-0.97597,0.51381,0.52,-1.25358,0.25864,1.62535,-1.2251,-0.1112,2.4309,2.7244,3175.8487,1.937256898,1.423897602,1.96667227,1.651996118,253.692,78.8797,1.69,3.08,5.44,1.87,1.7,3.16,6.27,4.01,85,1.285471038
37,-0.18793,-0.25031,0.12982,-0.27438,-0.20875,-0.17973,-0.66812,-0.33313,-0.1571,0.989,0.54622,0.92855,-0.69656,-0.99814,0.51671,0.53208,-1.26338,0.28692,1.65712,-2.5447,-2.3978,0.8215,3.5917,2919.7288,1.930142657,1.422247079,1.979605058,1.588691221,270.326,113.376,1.69,3.08,5.44,1.88,1.7,3.15,7.7,4.01,86.5,1.376514935
38a,-0.2599,-0.17964,-0.17931,-0.21217,-0.27775,0.18466,-0.67903,-0.50285,0.17834,1.02957,0.54499,0.92995,-0.70115,-1.00074,0.51111,0.53526,-1.24174,-0.35765,1.7086,-2.2016,0.6401,0.4786,2.3423,2786.9732,1.928510956,1.451076028,1.982219905,1.548555265,352.384,230.071,1.68,2.76,5.09,2.16,1.86,3.17,9.71,4.09,78.5,0.95972715
38b,-0.19657,-0.24834,0.11548,-0.26949,-0.21791,-0.11333,-0.66897,-0.33382,-0.15338,0.99352,0.54694,0.92819,-0.69827,-1.00891,0.51082,0.53007,-1.26301,0.26886,1.66249,-1.7353,-3.2112,0.2824,3.6609,2807.635,1.929108392,1.423778409,1.9755494,1.558367873,353.639,213.534,1.69,3.08,5.44,1.87,1.75,3.15,9.31,4.01,78,0.937954847
39,-0.25327,-0.27493,0.11418,-0.29172,-0.25866,-0.24523,-0.66345,-0.33165,-0.14369,1.02093,0.55194,0.92279,-0.70827,-0.97157,0.5145,0.51992,-1.31265,0.25787,1.68438,2.9557,5.4659,1.3874,6.3669,3148.4711,1.9382662,1.419214548,1.987198541,1.645785387,416.596,210.862,2.21,6.1,8.45,5.05,1.7,3.15,6.27,4.01,69,0.59294913
46,-0.24331,-0.23927,-0.1238,-0.2528,-0.29011,-0.23634,-0.66918,-0.54272,0.10864,1.01195,0.54809,0.91754,-0.71554,-0.96409,0.5188,0.52609,-1.26475,-0.23244,1.68113,-0.1583,-0.4232,0.3402,0.5655,2871.0708,1.940845177,1.466196256,1.997725464,1.570282718,357.115,163.877,2.07,7.35,9.23,2.17,1.69,3.19,6.34,4.05,42,-0.239199582
