Name,NPA_1,NPA_2,NPA_3,NPA_4,NPA_5,NPA_6,NPA_9,NPA_10,NPA_13,NPA_ConnectMetal,diff_NBO_4_10,diff_NBO_3_9,diff_NBO_4_13,diff_NBO_4_ConnectMetal,dip_x_1,dip_y_1,dip_z_1,Total_1,-4-10-,"Dist(4, 10)","Dist(3, 9)","Dist(4, 13)","Dist(4, ConnectMetal)",Iso.Polar,Aniso.Polar,B1_3_9,B5_3_9,L_3_9,loc.B5_3_9,B1_9_3,B5_9_3,L_9_3,loc.B5_9_3,Yield,ddg
16,-0.24434,-0.17002,-0.1135,-0.15632,-0.23943,-0.14109,0.1093,0.24002,-0.39073,-0.39073,-0.39634,-0.2228,0.23441,0.23441,-1.1714,-1.8171,9.00E-04,2.162,3220.1933,1.082153005,1.473759363,2.878073509,2.878073509,138.851,132.293,1.68,2.76,5.09,2.15,2.12,3.18,8.49,4.08,83.5,1.201644383
17,-0.19996,-0.17643,-0.11512,-0.16368,-0.19508,-0.0375,0.11147,0.2351,-0.39548,-0.39548,-0.39878,-0.22659,0.2318,0.2318,-1.1897,0.0903,-0.0036,1.1932,3228.6624,1.082110306,1.472420965,2.887235584,2.887235584,180.437,170.812,1.68,2.76,5.1,2.16,2.08,3.23,10.64,8.37,84,1.228872864
18,-0.31511,-0.15675,-0.14787,-0.14987,-0.24873,0.30772,0.11642,0.23546,-0.40593,-0.40593,-0.38533,-0.26429,0.25606,0.25606,-2.4495,0.7996,-0.0029,2.5767,3232.2237,1.08216839,1.469375675,2.892603392,2.892603392,123.382,106.66,1.68,2.76,5.1,2.16,1.76,3.2,8.4,4.06,83,1.175070152
20b,-0.17726,-0.17957,-0.10762,-0.16921,-0.19058,-0.06479,0.1107,0.23467,-0.39449,-0.39449,-0.40388,-0.21832,0.22528,0.22528,0.1584,0.9964,-0.664,1.2078,3228.4313,1.081987327,1.472699388,2.885573555,2.885573555,177.067,176.862,1.68,2.76,5.1,2.16,1.93,3.37,10.56,8.07,75,0.814155091
19,-0.24695,-0.15763,-0.13607,-0.15421,-0.23877,0.1514,0.1145,0.23622,-0.40313,-0.40313,-0.39043,-0.25057,0.24892,0.24892,2.1108,1.0719,0.0989,2.3695,3229.1266,1.082008432,1.470296946,2.886891824,2.886891824,145.928,137.004,1.68,2.76,5.1,2.16,1.69,3.53,9.63,6.28,76.5,0.874684711
46,-0.20953,-0.19296,-0.07352,-0.18156,-0.20705,-0.20972,0.0643,0.22819,-0.45369,-0.45369,-0.40975,-0.13782,0.27213,0.27213,-1.0992,-0.4362,2.2454,2.5378,3230.5227,1.082018249,1.467919525,2.933117997,2.933117997,225.09,122.034,2.07,7.35,9.23,2.17,1.69,3.19,6.34,4.05,42,-0.239199582
28,-0.2103,-0.19262,-0.07903,-0.1723,-0.20762,-0.20391,0.20909,0.2335,-0.40875,-0.40875,-0.4058,-0.28812,0.23645,0.23645,-1.1852,-0.8724,-0.6138,1.5945,3234.3353,1.081370693,1.485650881,2.822015579,2.822015579,185.94,174.706,1.7,4.53,8.32,5.92,1.7,3.18,6.36,4.08,88.5,1.512280624
29,-0.19892,-0.24356,0.279,-0.2372,-0.19863,-0.22623,-0.46996,0.22502,0.49654,-0.47634,-0.46222,0.74896,-0.73374,0.23914,0.614,-1.2874,0.403,1.4822,3236.525,1.081223834,1.383111758,3.021051259,2.998966068,131.534,80.9848,1.68,5.38,6.25,4.07,1.69,3.24,6.22,3.9,73,0.73709082
31,-0.21341,-0.17511,-0.1219,-0.16241,-0.21277,-0.19591,0.5309,0.23723,-0.46977,-0.46977,-0.39964,-0.6528,0.30736,0.30736,-0.9868,-0.643,0,1.1778,3234.6666,1.081860251,1.471405924,2.898806123,2.898806123,110.538,78.7137,1.88,2.72,5.12,2.21,1.69,3.18,6.33,4.06,88,1.476541977
30,-0.2069,-0.1874,-0.09998,-0.17176,-0.20486,-0.20308,0.03523,0.23701,-0.42768,-0.42768,-0.40877,-0.13521,0.25592,0.25592,-1.1048,-0.1312,5.00E-04,1.1125,3237.805,1.081394542,1.470369776,2.874523,2.874523,126.33,103.825,1.69,3.16,5.81,2.4,1.69,3.2,6.34,4.05,86.5,1.376514935
33,-0.19504,-0.23285,0.13951,-0.21527,-0.1925,-0.22225,-0.16764,0.24422,-0.2639,-0.2639,-0.45949,0.30715,0.04863,0.04863,-1.6408,0.582,-0.6803,1.8691,3249.8534,1.080047913,1.415648727,2.807682994,2.807682994,114.522,90.2591,1.69,3.08,5.44,1.87,1.7,3.16,6.27,4.01,85,1.285471038
37,-0.13915,-0.23445,0.17034,-0.22492,-0.14968,-0.1964,-0.1732,0.25042,-0.26293,-0.26293,-0.47534,0.34354,0.03801,0.03801,0.0803,-2.8568,-0.4839,2.8986,3258.1556,1.079401906,1.409966275,2.781673402,2.781673402,135.987,129.421,1.69,3.08,5.44,1.88,1.7,3.15,7.7,4.01,86.5,1.376514935
