Name,NPA_1,NPA_2,NPA_3,NPA_4,NPA_5,NPA_6,NPA_9,NPA_10,NPA_30,NPA_31,NPA_32,diff_NBO_4_10,diff_NBO_3_9,diff_NBO_4_31,dip_x_1,dip_y_1,dip_z_1,Total_1,-30-31-,"Dist(4, 10)","Dist(3, 9)","Dist(10, 30)","Dist(4, 34)","Dist(31, 36)",Iso.Polar,Aniso.Polar,B1_3_9,B5_3_9,L_3_9,loc.B5_3_9,B1_9_3,B5_9_3,L_9_3,loc.B5_9_3,Yield,ddg
23,0.34356,-0.26798,-0.14025,-0.31268,0.31142,-0.4253,0.19166,1.04251,-0.76537,0.56648,-0.30884,-1.35519,-0.33191,-0.87916,0.0324,0.4967,1.9908,2.052,3575.8847,1.942142853,1.453823191,1.978805324,3.203384131,1.780784818,341.129,155.922,1.68,2.76,5.1,2.16,1.89,4.62,7.11,5.75,73.5,0.756001668
24a,0.26385,-0.27471,-0.18225,-0.25485,-0.32805,0.32028,0.18562,1.04854,-0.76876,0.55836,-0.30987,-1.30339,-0.36787,-0.81321,-1.6485,-1.8341,0.7718,2.584,3458.9918,1.942954599,1.444373233,1.969510176,2.773199493,1.719696265,346.537,170.201,1.68,2.76,5.1,2.16,1.76,5.42,8.27,4.3,86,1.345267646
24b,-0.33783,-0.1944,-0.20645,-0.28981,0.2252,0.33383,0.18242,1.05337,-0.77049,0.55648,-0.30821,-1.34318,-0.38887,-0.84629,-2.0553,-0.6446,2.252,3.1163,3505.058,1.959070476,1.443178866,1.975176003,2.617251039,1.734330959,342.503,167.316,1.68,2.76,5.1,2.16,1.89,5.31,8.39,4.46,62,0.362792392
42,-0.32919,-0.17384,-0.18916,-0.23644,-0.34538,0.35647,0.11946,1.0539,-0.76498,0.55256,-0.30876,-1.29034,-0.30862,-0.789,-0.5685,-0.6335,1.1568,1.4362,3403.7056,1.957629262,1.448546359,1.969238965,2.598450951,1.695925898,343.349,186.108,1.69,3.77,8.2,4.32,1.69,3.2,7,4.06,86,1.345267646
43,-0.2409,-0.20747,-0.12213,-0.25737,-0.29786,-0.24796,0.20885,1.04009,-0.76423,0.5604,-0.30887,-1.29746,-0.33098,-0.81777,-0.4821,-4.8063,0.5906,4.8664,3380.3458,1.95318163,1.4635243,1.957689447,2.634952191,1.683702716,282.316,99.654,1.69,3.73,6.49,4.07,1.7,3.14,6.35,4.1,73,0.73709082
27,-0.24214,-0.20967,-0.14825,-0.22923,-0.25489,-0.20745,0.27467,1.03398,-0.76732,0.56173,-0.31089,-1.26321,-0.42292,-0.79096,-1.3967,-0.2105,1.749,2.2481,3336.1596,1.931259473,1.463746855,1.967993696,4.46164576,1.674390493,272.01,111.488,1.69,3.23,6.18,3.88,1.69,3.18,6.35,4.06,85,1.285471038
34,-0.31732,-0.22762,0.07671,-0.28563,-0.32756,0.32727,-0.13957,1.01784,-0.75948,0.55562,-0.31253,-1.30347,0.21628,-0.84125,-1.7134,-2.2722,1.1791,3.0804,3410.7925,1.947794846,1.424294005,1.96666672,2.63276545,1.697954563,281.843,110.613,1.69,3.08,5.44,1.86,1.78,3.16,8.34,4.01,86,1.345267646
40,-0.22808,-0.04372,0.11466,-0.28685,-0.28403,-0.25098,-0.14611,1.01424,-0.75862,0.55823,-0.31244,-1.30109,0.26077,-0.84508,-0.9334,-2.078,1.2422,2.5948,3451.9133,1.938173235,1.434968536,1.968779359,2.725914623,1.713534779,273.512,97.0935,1.69,3.07,5.45,1.87,1.71,4.31,6.27,2.18,90,1.628310181
36,-0.20533,-0.25666,0.11873,-0.27962,-0.20932,-0.17905,-0.15171,1.00842,-0.76661,0.56216,-0.31201,-1.28804,0.27044,-0.84178,-0.0882,-7.4659,1.4754,7.6107,3314.7722,1.937483991,1.42345543,1.974030237,4.35606829,1.664961695,272.288,105.521,1.69,3.08,5.44,1.88,1.87,3.16,7.56,4.01,86,1.345267646
32,-0.22411,-0.19788,-0.16834,-0.22655,-0.22716,-0.15024,0.67578,1.0311,-0.76529,0.56309,-0.30826,-1.25765,-0.84412,-0.78964,0.6888,-8.0268,1.7997,8.2549,3333.1974,1.950048732,1.45673985,1.973996522,4.360360771,1.668608577,270.094,97.0615,1.88,2.73,5.11,2.21,2.1,3.18,7.65,4.07,78,0.937954847
66,0.27959,-0.27981,-0.19263,-0.26887,-0.33133,0.33055,0.6777,1.07964,-0.78046,0.54685,-0.30563,-1.34851,-0.87033,-0.81572,-0.3329,-3.0503,2.8682,4.2002,3302.0758,1.959444714,1.448082895,1.978267187,2.4617362,1.65691176,319.276,125.717,2.52,3.54,6.48,4.09,1.78,3.19,8.38,4.05,22,-0.937954847
