Name,NPA_1,NPA_2,NPA_3,NPA_4,NPA_5,NPA_6,NPA_7,NPA_8,NPA_9,NPA_10,NPA_30,NPA_31,NPA_32,NPA_33,diff_NBO_4_10,diff_NBO_3_9,diff_NBO_10_7,diff_NBO_10_8,diff_NBO_30_33,dip_x_1,dip_y_1,dip_z_1,Total_1,-32-30-,"Dist(4, 10)","Dist(3, 9)","Dist(10, 7)","Dist(10, 8)","Dist(30, 33)",Iso.Polar,Aniso.Polar,B1_3_9,B5_3_9,L_3_9,loc.B5_3_9,B1_9_3,B5_9_3,L_9_3,loc.B5_9_3,Yield,ddg
28,-0.23633,-0.20881,-0.15327,-0.26507,-0.2784,-0.21526,-0.65532,-0.49494,0.27157,1.02805,0.5551,0.92179,-0.69945,-0.67467,-1.29312,-0.42484,1.68337,1.52299,1.22977,0.2138,-1.9025,0.609,2.0091,3383.9134,1.93564495,1.473209759,1.986320401,1.992968722,1.753862029,337.164,149.441,1.7,4.53,8.32,5.92,1.7,3.18,6.36,4.08,88.5,1.512280624
29,-0.23374,-0.26824,0.26511,-0.34511,-0.27542,-0.26783,-0.64713,-0.55923,-0.5129,1.00462,0.54536,0.91856,-0.70454,-0.68519,-1.34973,0.77801,1.65175,1.56385,1.23055,1.2657,-1.335,2.7194,3.2833,3378.2966,1.919354125,1.39797283,1.969195574,1.963630167,1.776048836,289.364,73.429,1.68,5.38,6.25,4.07,1.69,3.24,6.22,3.9,73,0.73709082
31,-0.29217,-0.18436,-0.17744,-0.18742,-0.25968,-0.22707,-0.63584,-0.60545,0.68508,1.01754,0.54892,0.91761,-0.69981,-0.6823,-1.20496,-0.86252,1.65338,1.62299,1.23122,0.4127,-2.7344,1.1558,2.9971,3160.8519,1.950075014,1.452550911,1.959160769,1.99900307,1.640865329,274.169,78.7578,1.88,2.72,5.12,2.21,1.69,3.18,6.33,4.06,88,1.476541977
30,-0.26022,-0.24476,-0.15251,-0.2217,-0.26122,-0.21143,-0.64797,-0.54108,0.08672,1.01439,0.54981,0.91243,-0.71568,-0.68407,-1.23609,-0.23923,1.66236,1.55547,1.23388,1.6165,-1.2114,1.3983,2.4568,3210.8897,1.938087295,1.457666259,1.994073086,1.991816122,1.676362602,282.662,81.0421,1.69,3.16,5.81,2.4,1.69,3.2,6.34,4.05,86.5,1.376514935
33,-0.25382,-0.28644,0.10921,-0.26812,-0.24797,-0.23633,-0.64524,-0.3425,-0.13919,0.99267,0.5504,0.9131,-0.71609,-0.6841,-1.26079,0.2484,1.63791,1.33517,1.2345,0.6407,-1.2799,1.2349,1.8904,3249.0326,1.935264069,1.421812882,1.996199471,1.971678181,1.691409288,271.607,73.1392,1.69,3.08,5.44,1.87,1.7,3.16,6.27,4.01,85,1.285471038
37,-0.20095,-0.24652,0.12975,-0.25406,-0.21556,-0.17124,-0.6485,-0.33856,-0.14671,0.99661,0.54686,0.91437,-0.69299,-0.67464,-1.25067,0.27646,1.64511,1.33517,1.2215,-1.1447,-5.3666,0.3463,5.4982,3061.6854,1.932015319,1.421855475,1.969082293,1.98356374,1.622487234,289.283,111.775,1.69,3.08,5.44,1.88,1.7,3.15,7.7,4.01,86.5,1.376514935
38a,-0.26293,-0.17672,-0.18094,-0.20296,-0.25854,0.19148,-0.6728,-0.51008,0.18186,1.03527,0.54824,0.92606,-0.69432,-0.69131,-1.23823,-0.3628,1.70807,1.54535,1.23955,-1.5303,-1.8102,-0.3058,2.39,3047.2021,1.936956738,1.44555583,1.974981708,1.996651761,1.604209739,377.132,237.637,1.68,2.76,5.09,2.16,1.86,3.17,9.71,4.09,78.5,0.95972715
38b,-0.19131,-0.24959,0.122,-0.26237,-0.19208,-0.11304,-0.66364,-0.33934,-0.14715,0.99941,0.54227,0.91564,-0.69809,-0.68224,-1.26178,0.26915,1.66305,1.33875,1.22451,-0.6798,-6.007,-0.5393,6.0694,2752.1997,1.935568779,1.422298486,1.968724426,1.984483779,1.53992217,377.368,224.454,1.69,3.08,5.44,1.87,1.75,3.15,9.31,4.01,78,0.937954847
39,-0.25731,-0.29702,0.12053,-0.26757,-0.24736,-0.23646,-0.64697,-0.33803,-0.13515,1.01486,0.54781,0.90948,-0.71316,-0.69452,-1.28243,0.25568,1.66183,1.35289,1.24233,4.1262,3.4309,1.3175,5.5256,3198.3624,1.93329698,1.418777388,1.9865387,1.996747784,1.645496839,437.926,189.113,2.21,6.1,8.45,5.05,1.7,3.15,6.27,4.01,69,0.59294913
46,-0.2338,-0.26198,-0.13725,-0.24593,-0.25752,-0.21793,-0.63814,-0.54683,0.1115,1.00765,0.54099,0.93571,-0.70066,-0.69223,-1.25358,-0.24875,1.64579,1.55448,1.23322,0.4698,-0.8034,1.8135,2.0384,3574.2298,1.93421366,1.466144115,1.957658261,1.986787653,1.892441226,376.057,144.912,2.07,7.35,9.23,2.17,1.69,3.19,6.34,4.05,42,-0.239199582
41,-0.25183,-0.19048,-0.15044,-0.22644,-0.29798,-0.10213,-0.62014,-0.53879,0.49666,0.99347,0.54689,0.92841,-0.73723,-0.69832,-1.21991,-0.6471,1.61361,1.53226,1.24521,0.3774,-2.6786,2.4084,3.6219,3417.4979,1.959902095,1.461329057,1.987649655,1.962929537,1.806569972,409.384,174.934,2.13,7.2,7.88,0.77,1.81,3.25,8.08,4.01,97.5,2.714977244
67,-0.39826,-0.16663,-0.20169,-0.1757,-0.31093,0.37009,-0.64604,-0.60821,0.67904,1.04759,0.54362,0.91437,-0.70512,-0.67201,-1.22329,-0.88073,1.69363,1.6558,1.21563,0.4771,-1.4299,1.7993,2.3473,3082.1886,1.955624726,1.443660828,1.964627939,2.029955824,1.618642761,315.978,108.993,2.52,3.55,6.48,4.09,2.09,4.79,8.31,5.41,13,-1.408754725
