Name,NPA_1,NPA_2,NPA_3,NPA_4,NPA_5,NPA_6,NPA_7,NPA_8,NPA_9,NPA_10,NPA_30,NPA_31,NPA_32,diff_NBO_4_10,diff_NBO_3_9,diff_NBO_10_8,diff_NBO_10_7,diff_NBO_32_30,dip_x_1,dip_y_1,dip_z_1,Total_1,-32-30-,"Dist(4, 10)","Dist(3, 9)","Dist(10, 8)","Dist(10, 7)","Dist(32, 30)",Iso.Polar,Aniso.Polar,B1_3_9,B5_3_9,L_3_9,loc.B5_3_9,B1_9_3,B5_9_3,L_9_3,loc.B5_9_3,Yield,ddg
21,-0.2337,0.0198,-0.16657,-0.30257,-0.28994,-0.18863,-0.64005,-0.49516,0.18194,1.00542,0.54334,0.9189,-0.68385,-1.30799,-0.34851,1.50058,1.64547,-1.22719,-0.4566,-0.1371,1.5871,1.6571,3524.4482,1.956808916,1.452263876,1.991611226,1.983729356,0.985514882,303.306,124.624,1.68,2.76,5.1,2.16,1.75,4.35,6.34,2.25,88,1.476541977
22,-0.32931,0.04624,-0.19542,-0.2841,-0.33843,0.38967,-0.63941,-0.50915,0.17898,1.0086,0.54357,0.91896,-0.68569,-1.2927,-0.3744,1.51775,1.64801,-1.22926,-1.3197,0.1601,1.5575,2.0477,3519.6481,1.959080542,1.441721876,1.989032267,1.98396392,0.985942941,328.067,167.878,1.68,2.76,5.09,2.16,1.77,4.34,8.42,2.26,90,1.628310181
23,0.36336,-0.26109,-0.13471,-0.41419,0.32162,-0.37747,-0.64228,-0.49305,0.18864,1.01452,0.54021,0.91837,-0.68435,-1.42871,-0.32335,1.50757,1.6568,-1.22456,0.5261,0.867,1.3501,1.6885,3350.4278,1.961548306,1.457085953,2.005566354,1.979076742,0.992433513,326.676,155.057,1.68,2.76,5.1,2.16,1.89,4.62,7.11,5.75,73.5,0.756001668
24a,0.27286,-0.27047,-0.17744,-0.32307,-0.31277,0.34713,-0.64008,-0.5071,0.18126,1.0091,0.54375,0.91877,-0.68396,-1.33217,-0.3587,1.5162,1.64918,-1.22771,-1.2043,-1.4023,0.8902,2.0516,3504.8786,1.961146426,1.443622648,1.99559394,1.98346848,0.986413267,335.4,179.311,1.68,2.76,5.1,2.16,1.76,5.42,8.27,4.3,86,1.345267646
24b,-0.32235,-0.17658,-0.19174,-0.35146,0.24683,0.34285,-0.63441,-0.51256,0.18047,1.01245,0.54066,0.91485,-0.68842,-1.36391,-0.37221,1.52501,1.64686,-1.22908,-1.584,-0.228,2.3559,2.8481,3475.4432,1.965857799,1.445185042,2.007211344,1.979339633,0.987423337,328.48,170.291,1.68,2.76,5.1,2.16,1.89,5.31,8.39,4.46,62,0.362792392
42,-0.32318,-0.16953,-0.18084,-0.3071,-0.31068,0.37321,-0.63353,-0.5284,0.10932,1.00208,0.54148,0.91938,-0.68451,-1.30918,-0.29016,1.53048,1.63561,-1.22599,0.1351,-0.0592,1.4865,1.4938,3516.1616,1.970273666,1.449864619,1.983072021,1.976333174,0.985824173,330.235,178.746,1.69,3.77,8.2,4.32,1.69,3.2,7,4.06,86,1.345267646
43,-0.22628,-0.20571,-0.11583,-0.33173,-0.26493,-0.2211,-0.63607,-0.37448,0.20987,0.99068,0.54504,0.91629,-0.68345,-1.32241,-0.3257,1.36516,1.62675,-1.22849,0.1795,-3.7489,3.1494,4.8995,3472.5685,1.964805181,1.466223908,1.98259444,1.979219855,0.987824354,268.816,87.1695,1.69,3.73,6.49,4.07,1.7,3.14,6.35,4.1,73,0.73709082
27,-0.22908,-0.19259,-0.13555,-0.30605,-0.27489,-0.20085,-0.63257,-0.52855,0.27286,0.98014,0.54128,0.91899,-0.68463,-1.28619,-0.40841,1.50869,1.61271,-1.22591,-0.6664,0.5477,1.3403,1.5939,3537.4836,1.944673664,1.468102688,1.98688608,1.97409356,0.984880281,260.206,89.0707,1.69,3.23,6.18,3.88,1.69,3.18,6.35,4.06,85,1.285471038
34,-0.31078,-0.22248,0.08143,-0.33354,-0.31124,0.34669,-0.63034,-0.33181,-0.14605,0.96774,0.54214,0.91973,-0.68732,-1.30128,0.22748,1.29955,1.59808,-1.22946,-1.2172,-1.7103,1.5574,2.6138,3524.2495,1.951547639,1.423845825,1.976623761,1.976274239,0.98542681,268.628,103.075,1.69,3.08,5.44,1.86,1.78,3.16,8.34,4.01,86,1.345267646
40,-0.21452,-0.03981,0.11737,-0.34436,-0.26789,-0.22097,-0.63018,-0.33267,-0.15308,0.96592,0.54152,0.91964,-0.68665,-1.31028,0.27045,1.29859,1.5961,-1.22817,-0.5286,-1.4351,1.61,2.2206,3526.4822,1.943210563,1.435081801,1.961056681,1.977474292,0.985230691,260.044,87.7722,1.69,3.07,5.45,1.87,1.71,4.31,6.27,2.18,90,1.628310181
36,-0.19547,-0.24052,0.12492,-0.35318,-0.23299,-0.16071,-0.63026,-0.32996,-0.15608,0.96257,0.53834,0.92066,-0.68376,-1.31575,0.281,1.29253,1.59283,-1.2221,1.0479,-7.2478,1.4518,7.4657,3553.6526,1.952431998,1.421791942,1.979392202,1.97534343,0.983863268,260.436,86.876,1.69,3.08,5.44,1.88,1.87,3.16,7.56,4.01,86,1.345267646
32,-0.21364,-0.17301,-0.15665,-0.28327,-0.28328,-0.1274,-0.62963,-0.57421,0.67874,0.98213,0.53932,0.91918,-0.68367,-1.2654,-0.83539,1.55634,1.61176,-1.22299,2.141,-7.8165,1.6846,8.2777,3561.3241,1.969655235,1.458847595,1.979517492,1.97573558,0.98391903,257.506,80.7315,1.88,2.73,5.11,2.21,2.1,3.18,7.65,4.07,78,0.937954847
66,0.27549,-0.26421,-0.17898,-0.30183,-0.34357,0.34629,-0.63407,-0.59812,0.67367,1.03193,0.54399,0.91362,-0.68647,-1.33376,-0.85265,1.63005,1.666,-1.23046,0.0397,-2.7695,1.1981,3.0178,3491.0276,1.971504077,1.447208281,2.016622603,1.973747472,0.987235358,307.018,118.83,2.52,3.54,6.48,4.09,1.78,3.19,8.38,4.05,22,-0.937954847
